project_index,folder_count,file_count,file_count_tslike,file_count_.ts,file_count_.tsx,file_count_.js,file_count_.jsx,commit_count,unique_commit_authors,commit_count_per_author,first_commit_date,last_commit_date,lines_of_code,lines_of_code_tslike,lines_of_code_.ts,lines_of_code_.tsx,lines_of_code_.js,lines_of_code_.jsx,lines_of_comments,lines_of_comments_tslike,lines_of_comments_.ts,lines_of_comments_.tsx,lines_of_comments_.js,lines_of_comments_.jsx,/frontend_.ts_file_count,/frontend_.ts_total_lines,/frontend_.ts_sloc,/frontend_.ts_total_lines_of_comments,/frontend_.ts_blank_lines,/frontend_.js_file_count,/frontend_.js_total_lines,/frontend_.js_sloc,/frontend_.js_total_lines_of_comments,/frontend_.js_blank_lines,/src_.ts_file_count,/src_.ts_total_lines,/src_.ts_sloc,/src_.ts_total_lines_of_comments,/src_.ts_blank_lines,/src_.js_file_count,/src_.js_total_lines,/src_.js_sloc,/src_.js_total_lines_of_comments,/src_.js_blank_lines,/test/controller_.ts_file_count,/test/controller_.ts_total_lines,/test/controller_.ts_sloc,/test/controller_.ts_total_lines_of_comments,/test/controller_.ts_blank_lines,/test/controller_.js_file_count,/test/controller_.js_total_lines,/test/controller_.js_sloc,/test/controller_.js_total_lines_of_comments,/test/controller_.js_blank_lines,/test/rest_.ts_file_count,/test/rest_.ts_total_lines,/test/rest_.ts_sloc,/test/rest_.ts_total_lines_of_comments,/test/rest_.ts_blank_lines,/test/rest_.js_file_count,/test/rest_.js_total_lines,/test/rest_.js_sloc,/test/rest_.js_total_lines_of_comments,/test/rest_.js_blank_lines,3_folders_file_count,3_folders_total_lines,3_folders_sloc,3_folders_total_lines_of_comments,3_folders_blank_lines,/frontend_file_count,/frontend_total_lines,/frontend_sloc,/frontend_total_lines_of_comments,/frontend_blank_lines,/src_file_count,/src_total_lines,/src_sloc,/src_total_lines_of_comments,/src_blank_lines,/test/controller_file_count,/test/controller_total_lines,/test/controller_sloc,/test/controller_total_lines_of_comments,/test/controller_blank_lines,/test/rest_file_count,/test/rest_total_lines,/test/rest_sloc,/test/rest_total_lines_of_comments,/test/rest_blank_lines,typescript_file_count,typescript_total_lines,typescript_sloc,typescript_total_lines_of_comments,typescript_blank_lines,javascript_file_count,javascript_total_lines,javascript_sloc,javascript_total_lines_of_comments,javascript_blank_lines,cc_sum,cc_sum_3folders,term
0,31,60,4,3,0,1,0,10,2,"[6, 2, 1, 1]",2021-09-21,2022-08-11,69046,367,257,0,110,0,633,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,143,54,74,15,0,0,0,0,0,1,114,80,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,347,134,90,33,0,0,0,0,0,2,217,54,74,15,1,130,80,16,18,0,0,0,0,0,3,347,134,90,33,0,0,0,0,0,29,29,1
1,45,140,44,30,12,2,0,25,3,"[11, 8, 3, 2, 1]",2021-09-21,2021-12-07,151306,5604,4775,704,125,0,1476,370,370,0,0,0,17,869,798,5,66,1,14,14,0,0,23,1782,1281,355,146,0,0,0,0,0,1,2775,2523,3,249,0,0,0,0,0,1,53,16,29,8,0,0,0,0,0,43,5885,4632,392,469,18,888,812,5,66,23,2137,1281,355,146,1,2778,2523,3,249,1,82,16,29,8,42,5871,4618,392,469,1,14,14,0,0,694,694,1
2,38,249,40,38,0,2,0,155,4,"[60, 32, 30, 29, 3, 1]",2021-09-21,2021-11-29,167535,4259,4029,0,230,0,2148,772,771,0,1,0,0,0,0,0,0,1,115,94,1,20,33,2799,1770,584,445,0,0,0,0,0,3,681,523,62,96,0,0,0,0,0,1,362,263,66,33,0,0,0,0,0,38,4670,2650,713,594,1,116,94,1,20,33,3383,1770,584,445,3,743,523,62,96,1,428,263,66,33,37,4554,2556,712,574,1,116,94,1,20,1262,668,1
3,37,201,16,14,0,2,0,270,4,"[135, 129, 3, 1, 1, 1]",2021-09-21,2021-12-07,247553,3102,2722,0,380,0,1803,144,137,0,7,0,0,0,0,0,0,1,265,216,7,42,11,1645,1378,121,146,0,0,0,0,0,1,756,683,6,67,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,14,2883,2293,163,264,1,272,216,7,42,11,1766,1378,121,146,1,762,683,6,67,1,83,16,29,9,13,2611,2077,156,222,1,272,216,7,42,642,642,1
4,44,316,61,46,13,2,0,33,4,"[18, 9, 2, 2, 1, 1]",2021-09-21,2021-11-29,201698,5879,4814,933,132,0,2187,730,656,74,0,0,17,1199,982,92,125,1,17,17,0,0,35,3116,2180,599,337,0,0,0,0,0,1,935,778,25,132,0,0,0,0,0,1,342,283,4,55,0,0,0,0,0,55,6329,4240,720,649,18,1308,999,92,125,35,3715,2180,599,337,1,960,778,25,132,1,346,283,4,55,54,6312,4223,720,649,1,17,17,0,0,775,756,1
5,35,338,19,17,0,2,0,96,5,"[51, 19, 18, 3, 2, 2, 1]",2021-09-21,2021-12-07,228182,3483,3204,0,279,0,1305,451,441,0,10,0,0,0,0,0,0,1,164,146,10,8,12,1933,1526,303,104,0,0,0,0,0,2,440,320,75,45,0,0,0,0,0,1,365,229,115,21,0,0,0,0,0,16,3405,2221,503,178,1,174,146,10,8,12,2236,1526,303,104,2,515,320,75,45,1,480,229,115,21,15,3231,2075,493,170,1,174,146,10,8,774,774,1
6,35,178,13,11,0,2,0,81,3,"[39, 22, 16, 3, 1]",2021-09-21,2021-12-07,153349,2886,2170,0,716,0,933,156,153,0,3,0,0,0,0,0,0,1,601,536,4,61,9,1518,1264,135,119,0,0,0,0,0,1,595,523,16,56,0,0,0,0,0,1,57,41,5,11,0,0,0,0,0,12,2931,2364,160,247,1,605,536,4,61,9,1653,1264,135,119,1,611,523,16,56,1,62,41,5,11,11,2326,1828,156,186,1,605,536,4,61,600,600,1
7,33,137,15,13,0,2,0,309,19,"[135, 104, 37, 6, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2021-09-21,2021-12-05,175308,3433,3053,0,380,0,1626,244,205,0,39,0,0,0,0,0,0,1,265,153,87,25,11,1735,1405,181,149,0,0,0,0,0,1,705,552,92,61,0,0,0,0,0,1,613,551,25,37,0,0,0,0,0,14,3703,2661,385,272,1,352,153,87,25,11,1916,1405,181,149,1,797,552,92,61,1,638,551,25,37,13,3351,2508,298,247,1,352,153,87,25,738,738,1
8,63,300,89,74,14,1,0,73,2,"[45, 25, 2, 1]",2021-09-21,2021-12-05,148459,7308,5363,1830,115,0,1196,427,424,3,0,0,45,2593,2303,17,273,0,0,0,0,0,32,2769,1988,239,542,0,0,0,0,0,1,254,177,16,61,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,79,5971,4484,301,885,45,2610,2303,17,273,32,3008,1988,239,542,1,270,177,16,61,1,83,16,29,9,79,5971,4484,301,885,0,0,0,0,0,977,783,1
9,39,325,21,19,0,2,0,152,3,"[75, 56, 17, 3, 1]",2021-09-21,2021-11-29,223159,2721,2525,0,196,0,1476,529,526,0,3,0,0,0,0,0,0,1,81,63,3,15,15,2112,1632,283,197,0,0,0,0,0,2,337,82,243,12,0,0,0,0,0,1,62,-11,64,9,0,0,0,0,0,19,3185,1766,593,233,1,84,63,3,15,15,2395,1632,283,197,2,580,82,243,12,1,126,-11,64,9,18,3101,1703,590,218,1,84,63,3,15,347,346,1
10,38,168,18,16,0,2,0,99,4,"[41, 33, 11, 10, 3, 1]",2021-09-21,2021-11-29,146503,3008,2674,0,334,0,1258,156,149,0,7,0,0,0,0,0,0,1,219,191,7,21,14,2125,1810,122,193,0,0,0,0,0,1,471,405,17,49,0,0,0,0,0,1,78,57,10,11,0,0,0,0,0,17,3049,2463,156,274,1,226,191,7,21,14,2247,1810,122,193,1,488,405,17,49,1,88,57,10,11,16,2823,2272,149,253,1,226,191,7,21,645,645,1
